shot_id,timestamp,magnitude1,magnitude2,magnitude3,magnitude4,magnitude5,magnitude6,magnitude7,magnitude8
4,1756299192.144221,4.9624,2.9929,4.2278,11.2773,4.3844,2.6113,1.0341,1.2258
5,1756299366.9376693,2.3994,7.1160,2.7889,14.4867,4.5931,0.9774,1.0353,2.8586
6,1756299381.0422108,4.6767,2.4123,7.0119,17.7717,13.6115,12.9308,16.3589,14.7748
7,1756299382.0616918,17.7717,13.6115,12.9308,16.3589,14.7748,13.9969,7.8036,13.6163
7,1756299383.5885286,14.7748,13.9969,7.8036,13.6163,5.1348,16.5993,0.6382,13.7041
7,1756299383.9960864,7.8036,13.6163,5.1348,16.5993,0.6382,13.7041,6.1494,3.9868
7,1756299384.8070202,5.1348,16.5993,0.6382,13.7041,6.1494,3.9868,1.2410,12.3331
7,1756299387.237983,6.1494,3.9868,1.2410,12.3331,10.1394,2.3224,21.8102,9.4373
8,1756299387.4491582,12.3331,10.1394,2.3224,21.8102,9.4373,4.5676,14.3632,16.1759
8,1756299388.9691305,9.4373,4.5676,14.3632,16.1759,5.2043,7.3124,2.2193,2.6993
8,1756299393.3268914,2.6993,4.6395,2.9776,19.2584,10.9543,14.2657,17.3065,5.7034
9,1756299393.3564467,19.2584,10.9543,14.2657,17.3065,5.7034,24.8050,13.4649,15.2999
9,1756299393.577159,14.2657,17.3065,5.7034,24.8050,13.4649,15.2999,7.3438,5.5962
9,1756299394.2009206,5.7034,24.8050,13.4649,15.2999,7.3438,5.5962,23.8052,2.4259
9,1756299395.3233583,15.2999,7.3438,5.5962,23.8052,2.4259,11.4249,5.0150,1.3828
9,1756299396.137141,5.5962,23.8052,2.4259,11.4249,5.0150,1.3828,2.3064,0.5050
9,1756299401.3323324,4.8923,3.7570,13.7911,18.5525,3.3502,12.9350,12.8766,11.2423
10,1756299402.252516,13.7911,18.5525,3.3502,12.9350,12.8766,11.2423,20.5758,9.9736
10,1756299405.9087663,12.9350,12.8766,11.2423,20.5758,9.9736,4.8227,14.7645,1.9042
10,1756299406.7285702,20.5758,9.9736,4.8227,14.7645,1.9042,6.6148,13.1110,8.6598
11,1756299408.165336,14.7645,1.9042,6.6148,13.1110,8.6598,4.0754,19.6288,19.5477
11,1756299411.530436,13.1110,8.6598,4.0754,19.6288,19.5477,3.4085,10.4867,6.0775
11,1756299411.8395708,19.6288,19.5477,3.4085,10.4867,6.0775,3.1917,4.9220,2.0303
